_insee;nommin
65164;Escoubès-Pouts
65028;Arné
65044;Aubarède
65268;Layrisse
65024;Argelès-Bagnères
65364;Pintac
65242;Lacassagne
65095;Bonnefont
65132;Castéra-Lanusse
65295;Luz-Saint-Sauveur
65241;Laborde
65151;Collongues
65262;Larreule
65239;Labastide
65144;Cheust
65416;Seich
65456;Uglas
65328;Neuilh
65189;Gayan
65112;Bun
65431;Sost
65263;Larroque
65350;Oursbelille
65320;Montgaillard
65478;Viscos
65287;Loures-Barousse
65305;Mauléon-Barousse
65459;Uzer
65011;Les Angles
65122;Camous
65191;Gazost
65210;Grust
65413;Sazos
65388;Saint-Lary-Soulan
65065;Barlest
65237;Juncalas
65441;Thèbe
65427;Siradan
65462;Vidouze
65369;Pouyastruc
65475;Villemur
65043;Astugue
65368;Pouy
65382;Sacoué
65182;Gaillagos
65230;Izaourt
65045;Aucun
65078;Beaudéan
65001;Adast
65127;Capvern
65373;Puntous
65352;Ouzous
65360;Peyrouse
65143;Chelle-Spou
65218;Hèches
65223;Horgues
65067;Barry
65355;Paréac
65374;Puydarrieux
65187;Gaussan
65217;Hautaget
65016;Antist
65281;Loucrup
65405;Sarlabous
65334;Omex
65294;Lutilhous
65285;Louit
65370;Pouzac
65201;Geu
65311;Mingot
65173;Esterre
65007;Andrest
65341;Oroix
65006;Ancizan
65309;Mazouau
65053;Aveux
65190;Gazave
65055;Ayros-Arbouix
65296;Madiran
65254;Laméac
65084;Bernac-Dessus
65397;Saint-Sever-de-Rustan
65421;Sère-Lanso
65136;Caubous
65111;Bulan
65169;Estaing
65464;Vielle-Adour
65168;Esquièze-Sère
65443;Thuy
65308;Mazerolles
65371;Préchac
65059;Bagnères-de-Bigorre
65119;Caixon
65097;Bonrepos
65307;Mazères-de-Neste
65200;Germs-sur-l'Oussouet
65469;Viey
65306;Mauvezin
65072;Bazet
65291;Lugagnan
65358;Peyret-Saint-André
65244;Lagarde
65470;Viger
65121;Camalès
65216;Hauban
65048;Aurensan
65438;Talazac
65331;Odos
65274;Libaros
65446;Tostat
65228;Ilhet
65013;Ansost
65280;Loubajac
65093;Bize
65366;Poueyferré
65052;Averan
65125;Campistrous
65183;Galan
65184;Galez
65445;Tilhouse
65293;Lustar
65249;Lalanne
65101;Bordes
65080;Bénac
65150;Clarens
65109;Bramevaque
65222;Hitte
65362;Pierrefitte-Nestalas
65159;Escala
65174;Estirac
65269;Lescurry
65457;Ugnouas
65283;Loudervielle
65186;Gaudent
65229;Ilheu
65240;Labatut-Rivière
65077;Beaucens
65361;Peyrun
65318;Montastruc
65377;Réjaumont
65258;Lannemezan
65113;Burg
65278;Lomné
65245;Lagrange
65009;Anères
65426;Sinzos
65049;Auriébat
65010;Angos
65270;Lespouey
65332;Oléac-Debat
65338;Orignac
65260;Lapeyre
65273;Liac
65290;Luc
65317;Mont
65096;Bonnemazon
65400;Salles
65102;Bouilh-Devant
65423;Sère-Rustaing
65340;Orleix
65250;Lalanne-Trie
65160;Escaunets
65098;Boô-Silhen
65062;Barbazan-Debat
65367;Poumarous
65177;Fontrailles
65156;Dours
65466;Vielle-Louron
65266;Lassales
65356;Péré
65248;Lahitte-Toupière
65419;Sentous
65226;Ibos
65393;Saint-Pastous
65224;Houeydets
65233;Jarret
65351;Ousté
65170;Estampures
65372;Pujo
65315;Monléon-Magnoac
65195;Génos
65359;Peyriguère
65199;Germ
65319;Montégut
65265;Laslades
65118;Caharet
65023;Ardengost
65301;Marseillan
65193;Gembrie
65384;Sailhan
65460;Vic-en-Bigorre
65243;Lafitole
65255;Lançon
65454;Trouley-Labarthe
65038;Artigues
65163;Escots
65022;Arcizans-Dessus
65428;Sireix
65288;Lubret-Saint-Luc
65392;Saint-Martin
65439;Tarasteix
65424;Sers
65120;Calavanté
65212;Guchen
65316;Monlong
65171;Estarvielle
65130;Castelnau-Rivière-Basse
65436;Souyeaux
65298;Marquerie
65394;Saint-Paul
65082;Berbérust-Lias
65014;Antichan
65124;Camparan
65286;Lourdes
65312;Molère
65429;Sombrun
65380;Sabalos
65450;Tramezaïgues
65161;Escondeaux
65232;Jacque
65435;Soulom
65467;Vier-Bordes
65479;Visker
65236;Julos
65430;Soréac
65321;Montignac
65180;Fréchet-Aure
65267;Lau-Balagnas
65142;Chelle-Debat
65153;Coussan
65264;Lascazères
65002;Adé
65105;Bourg-de-Bigorre
65129;Castelnau-Magnoac
65115;Cabanac
65075;Bazus-Aure
65432;Soublecause
65094;Bizous
65063;Barbazan-Dessus
65162;Esconnets
65056;Ayzac-Ost
65215;Hagedet
65284;Louey
65476;Villenave-près-Béarn
65473;Villelongue
65326;Mun
65404;Sariac-Magnoac
65073;Bazillac
65235;Juillan
65335;Ordizan
65155;Devèze
65086;Bernadets-Dessus
65276;Lizos
65070;Bartrès
65025;Argelès-Gazost
65157;Ens
65333;Oléac-Dessus
65314;Monfaucon
65138;Cauterets
65399;Saligos
65324;Moulédous
65167;Espieilh
65128;Castelbajac
65146;Chis
65375;Rabastens-de-Bigorre
65135;Castillon
65081;Benqué
65104;Boulin
65165;Esparros
65310;Mérilheu
65066;Barrancoueu
65092;Beyrède-Jumet
65378;Ricaud
65231;Izaux
65389;Saint-Laurent-de-Neste
65126;Campuzan
65172;Estensan
65385;Saint-Arroman
65477;Villenave-près-Marsac
65342;Osmets
65042;Asté
65099;Bordères-Louron
65221;Hiis
65137;Caussade-Rivière
65410;Sarrouilles
65054;Avezac-Prat-Lahitte
65277;Lombrès
65051;Aventignan
65409;Sarriac-Bigorre
65158;Esbareich
65005;Allier
65252;Lamarque-Pontacq
65211;Guchan
65178;Fréchède
65297;Mansan
65202;Gez
65327;Nestier
65041;Asque
65139;Cazarilh
65474;Villembits
65071;Batsère
65452;Trie-sur-Baïse
65188;Gavarnie
65403;Sanous
65107;Bourréac
65140;Cazaux-Debat
65134;Casterets
65289;Luby-Betmont
65040;Aspin-en-Lavedan
65401;Salles-Adour
65036;Artalens-Souin
65440;Tarbes
65206;Goudon
65344;Ossun
65017;Aragnouet
65197;Ger
65141;Cazaux-Fréchet-Anéran-Camors
65020;Arcizac-ez-Angles
65087;Bertren
65465;Vielle-Aure
65449;Tournous-Devant
65339;Orincles
65247;Arrayou-Lahitte
65279;Lortet
65453;Troubat
65256;Lanespède
65300;Marsas
65417;Séméac
65205;Gouaux
65133;Castéra-Lou
65012;Anla
65387;Saint-Lanne
65259;Lansac
65322;Montoussé
65343;Ossen
65313;Momères
65337;Orieux
65238;Labassère
65348;Ourdis-Cotdoussan
65061;Barbachen
65422;Séron
65447;Tournay
65444;Tibiran-Jaunac
65117;Cadeilhan-Trachère
65175;Ferrère
65395;Saint-Pé-de-Bigorre
65196;Gensac
65214;Hachan
65079;Bégole
65442;Thermes-Magnoac
65004;Agos-Vidalos
65031;Arreau
65123;Campan
65091;Bettes
65329;Nistos
65451;Trébons
65057;Azereix
65110;Bugard
65398;Saléchan
65381;Sabarros
65347;Ourde
65103;Bouilh-Péreuilh
65090;Betpouy
65037;Artiguemy
65386;Saint-Créac
65076;Bazus-Neste
65346;Oueilloux
65083;Bernac-Debat
65074;Bazordan
65219;Hères
65420;Sère-en-Lavedan
65275;Lies
65046;Aulon
65282;Loudenvielle
65325;Moumoulous
65064;Bareilles
65363;Pinas
65480;Vizos
65220;Hibarette
65207;Gourgue
65034;Arrodets
65353;Ozon
65415;Ségus
65015;Antin
65433;Soues
65391;Sainte-Marie
65148;Cizos
65027;Armenteule
65253;Lamarque-Rustaing
65482;Cantaous
65100;Bordères-sur-l'Échez
65116;Cadéac
65166;Espèche
65383;Sadournin
65437;Tajan
65303;Mascaras
65357;Peyraube
65209;Grézian
65407;Sarp
65035;Artagnan
65251;Laloubère
65108;Bours
65203;Gez-ez-Angles
65213;Guizerix
65455;Tuzaguet
65345;Ossun-ez-Angles
65131;Castelvieilh
65472;Villefranque
65106;Bourisp
65379;Ris
65458;Uz
65411;Sassis
65448;Tournous-Darré
65396;Saint-Savin
65323;Montsérié
65271;Lézignan
65461;Vidou
65272;Lhez
65060;Banios
65021;Arcizans-Avant
65406;Sarniguet
65354;Pailhac
65414;Ségalas
65481;Barèges
65033;Arrodets-ez-Angles
65018;Arbéost
65185;Gardères
65154;Créchets
65336;Organ
65234;Jézeau
65026;Aries-Espénan
65176;Ferrières
65376;Recurt
65330;Nouilhan
65468;Vieuzos
65029;Arras-en-Lavedan
65204;Gonez
65181;Fréchou-Fréchet
65463;Viella
65192;Gèdre
65068;Barthe
65019;Arcizac-Adour
65149;Clarac
65257;Lanne
65088;Betbèze
65003;Adervielle-Pouchergues
65225;Hourc
65058;Azet
65208;Grailhen
65089;Betpouey
65304;Maubourguet
65039;Aspin-Aure
65408;Sarrancolin
65418;Sénac
65349;Ourdon
65050;Avajan
65292;Luquet
65032;Arrens-Marsous
65114;Buzon
65299;Marsac
65425;Siarrouy
65179;Fréchendets
65412;Sauveterre
65402;Samuran
65145;Chèze
65198;Gerde
65261;Laran
65390;Saint-Lézer
65085;Bernadets-Debat
65047;Aureilhan
65194;Générest
65069;La Barthe-de-Neste
65471;Vignec
65147;Cieutat
